basecase
Jan-Mar
Product, Make, Sell, Store
Juice, 1000, 1000,   0
Sauce, 1892, 2000,   0
Paste, 866.667, 2500,   0
Canned, 5000, 5000,   0

Apr-Jun
Product, Make, Sell, Store
Juice, 2000, 2000,   0
Sauce, 3000, 3000,   0
Paste, 3589.7, 3500, 89.697
Canned, 5000, 5000,   0

Jul-Sep
Product, Make, Sell, Store
Juice, 2000, 2000,   0
Sauce, 4410.3, 3000, 1410.3
Paste, 7000, 3500, 3589.7
Canned, 5000, 5000,   0

Oct-Dec
Product, Make, Sell, Store
Juice, 1848.23, 1848.23,   0
Sauce, 697.697, 2000, 108
Paste, 1319.05, 3275.42, 1633.33
Canned, 5000, 5000,   0

---------------------- Scenarios ------------------------------

No Strategic Decisions
Jan-Mar
Product, Make, Sell, Store
Juice, 495.455, 1000,   0
Sauce, 2000, 2000,   0
Paste, 1215.45, 3700,   0
Canned, 5400, 5400,   0

Apr-Jun
Product, Make, Sell, Store
Juice, 2200, 2200,   0
Sauce, 3200, 3200,   0
Paste, 4216, 3700, 516
Canned, 5400, 5400,   0

Jul-Sep
Product, Make, Sell, Store
Juice, 2200, 2200,   0
Sauce, 4384, 3200, 1184
Paste, 7000, 3700, 3816
Canned, 5400, 5400,   0

Oct-Dec
Product, Make, Sell, Store
Juice, 1504.55, 1000, 504.545
Sauce, 816, 2000,   0
Paste, 1484.55, 2816, 2484.55
Canned, 5400, 5400,   0


Rent New Warehouse   
Jan-Mar
Product, Make, Sell, Store
Juice, 495.455, 1000,   0
Sauce, 2000, 2000,   0
Paste, 1215.45, 3700,   0
Canned, 5400, 5400,   0

Apr-Jun
Product, Make, Sell, Store
Juice, 2200, 2200,   0
Sauce, 3200, 3200,   0
Paste, 4216, 3700, 516
Canned, 5400, 5400,   0

Jul-Sep
Product, Make, Sell, Store
Juice, 2200, 2200,   0
Sauce, 4384, 3200, 1184
Paste, 7000, 3700, 3816
Canned, 5400, 5400,   0

Oct-Dec
Product, Make, Sell, Store
Juice, 1504.55, 1000, 504.545
Sauce, 816, 2000,   0
Paste, 1484.55, 2816, 2484.55
Canned, 5400, 5400,   0


Enter New Contract   
Jan-Mar
Product, Make, Sell, Store
Juice, 600, 600,   0
Sauce, 1877.33, 1877.33,   0
Paste, 1243.33, 3700,   0
Canned, 5400, 5400,   0

