Summary of Optimal Solution with Strategic Decisions and 2% Slack in Mixture
Metric,Value
Total Profit, £55125.2
Total Income, £174040
Total Cost, £118915

Type, Name, Period, Demand Slack, Demand Dual, Contract Slack, Contract Dual, Availability Slack, Availability Dual
Product,Juice,Jan-Mar,1200,0,0,-0.4152,,,
Product,Juice,Apr-Jun,0,0.9711111111,-1200,0,,,
Product,Juice,Jul-Sep,0,1.131111111,-1200,0,,,
Product,Juice,Oct-Dec,1200,0,0,-0.3277333333,,,
Product,Sauce,Jan-Mar,1200,0,0,-0.4669090909,,,
Product,Sauce,Apr-Jun,0,1.095212121,-1200,0,,,
Product,Sauce,Jul-Sep,0,1.322484848,-1200,0,,,
Product,Sauce,Oct-Dec,1200,0,0,-0.3669090909,,,
Product,Paste,Jan-Mar,1004.545455,0,-195.4545455,0,,,
Product,Paste,Apr-Jun,0,1.674666667,-1200,0,,,
Product,Paste,Jul-Sep,0,1.789393939,-1200,0,,,
Product,Paste,Oct-Dec,0,0.1,-1200,0,,,
Product,Canned,Jan-Mar,0,0.58,-2400,0,,,
Product,Canned,Apr-Jun,0,1.059111111,-2400,0,,,
Product,Canned,Jul-Sep,0,1.259111111,-2400,0,,,
Product,Canned,Oct-Dec,0,0.5966666667,-2400,0,,,
Material,Beef,Jan-Mar,,,,,0,1.612,,
Material,Beef,Apr-Jun,,,,,944.6464646,0,,
Material,Beef,Jul-Sep,,,,,1361.818182,0,,
Material,Beef,Oct-Dec,,,,,0,1.492,,
Material,Plum,Jan-Mar,,,,,454.5454545,0,,
Material,Plum,Apr-Jun,,,,,3858.989899,0,,
Material,Plum,Jul-Sep,,,,,4700.909091,0,,
Material,Plum,Oct-Dec,,,,,550,0,,
Material,Moneymaker,Jan-Mar,,,,,0,0.872,,
Material,Moneymaker,Apr-Jun,,,,,0,0.1555555556,,
Material,Moneymaker,Jul-Sep,,,,,0,0.1555555556,,
Material,Moneymaker,Oct-Dec,,,,,0,0.8053333333,,

Type, Name, Content, Period, Mixture Slack, Mixture Dual
Mixture,Juice,Solid,Jan-Mar,0,0.08752
Mixture,Juice,Solid,Apr-Jun,0,-0.02111111111
Mixture,Juice,Solid,Jul-Sep,0,-0.01711111111
Mixture,Juice,Solid,Oct-Dec,0,0.08117333333
Mixture,Juice,Liquid,Jan-Mar,0,-0.24848
Mixture,Juice,Liquid,Apr-Jun,0,0.001111111111
Mixture,Juice,Liquid,Jul-Sep,0,0.005111111111
Mixture,Juice,Liquid,Oct-Dec,0,-0.2334933333
Mixture,Sauce,Solid,Jan-Mar,0,0.08752
Mixture,Sauce,Solid,Apr-Jun,0,-0.02111111111
Mixture,Sauce,Solid,Jul-Sep,0,-0.01711111111
Mixture,Sauce,Solid,Oct-Dec,0,0.08117333333
Mixture,Sauce,Liquid,Jan-Mar,0,-0.24848
Mixture,Sauce,Liquid,Apr-Jun,0,0.001111111111
Mixture,Sauce,Liquid,Jul-Sep,0,0.005111111111
Mixture,Sauce,Liquid,Oct-Dec,0,-0.2334933333
Mixture,Paste,Solid,Jan-Mar,0,0.08752
Mixture,Paste,Solid,Apr-Jun,0,-0.02111111111
Mixture,Paste,Solid,Jul-Sep,0,-0.01711111111
Mixture,Paste,Solid,Oct-Dec,0,0.07685333333
Mixture,Paste,Liquid,Jan-Mar,0,-0.24848
Mixture,Paste,Liquid,Apr-Jun,0,0.001111111111
Mixture,Paste,Liquid,Jul-Sep,0,0.005111111111
Mixture,Paste,Liquid,Oct-Dec,0,-0.2258133333
Mixture,Canned,Solid,Jan-Mar,0,0.08752
Mixture,Canned,Solid,Apr-Jun,0,-0.02111111111
Mixture,Canned,Solid,Jul-Sep,0,-0.01711111111
Mixture,Canned,Solid,Oct-Dec,0,0.07685333333
Mixture,Canned,Liquid,Jan-Mar,0,-0.24848
Mixture,Canned,Liquid,Apr-Jun,0,0.001111111111
Mixture,Canned,Liquid,Jul-Sep,0,0.005111111111
Mixture,Canned,Liquid,Oct-Dec,0,-0.2258133333

Jan-Mar,Juice,1000,1000,0,800
Jan-Mar,Sauce,1808,2000,0,2054.545455
Jan-Mar,Paste,895.4545455,2695.454545,0,1790.909091
Jan-Mar,Canned,5400,5400,0,5400
Apr-Jun,Juice,2200,2200,0,1760
Apr-Jun,Sauce,3200,3200,0,3636.363636
Apr-Jun,Paste,3700,3700,0,7400
Apr-Jun,Canned,5400,5400,0,5400
Jul-Sep,Juice,2200,2200,0,1760
Jul-Sep,Sauce,3500,3200,300,3977.272727
Jul-Sep,Paste,8400,3700,4700,16800
Jul-Sep,Canned,5400,5400,0,5400
Oct-Dec,Juice,1000,1000,0,800
Oct-Dec,Sauce,1892,2000,192,2150
Oct-Dec,Paste,800,3700,1800,1600
Oct-Dec,Canned,5400,5400,0,5400

Period, Variety, Variety Used
Jan-Mar,Beef,1500
Jan-Mar,Plum,4545.454545
Jan-Mar,Moneymaker,4000
Apr-Jun,Beef,3055.353535
Apr-Jun,Plum,6141.010101
Apr-Jun,Moneymaker,9000
Jul-Sep,Beef,4638.181818
Jul-Sep,Plum,10299.09091
Jul-Sep,Moneymaker,13000
Oct-Dec,Beef,1500
Oct-Dec,Plum,4450
Oct-Dec,Moneymaker,4000
